"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ADI","Analog Devices, Inc.","84.2","31294611137.2","n/a","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/adi",
"PLAN","Anaplan, Inc.","22.72","0","n/a","2018","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/plan",
"ANSS","ANSYS, Inc.","159.09","13293563263.62","n/a","1996","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/anss",
"APY","Apergy Corporation","37.73","2918069515.9","n/a","2018","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/apy",
"APPF","AppFolio, Inc.","57.97","1985503108.16","n/a","2015","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/appf",
"APPN","Appian Corporation","26.46","1684733786.82","n/a","2017","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/appn",
"AAPL","Apple Inc.","194.17","921413929660","n/a","1980","Technology","Computer Manufacturing","https://www.nasdaq.com/symbol/aapl",
"AMAT","Applied Materials, Inc.","32.62","32065150795.02","n/a","1972","Technology","Semiconductors","https://www.nasdaq.com/symbol/amat",
"AAOI","Applied Optoelectronics, Inc.","19.625","388548761.375","n/a","2013","Technology","Semiconductors","https://www.nasdaq.com/symbol/aaoi",
"APTI","Apptio, Inc.","37.65","1698184010.85","n/a","2016","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/apti",
"AQ","Aquantia Corp.","9.96","341231641.8","n/a","2017","Technology","Semiconductors","https://www.nasdaq.com/symbol/aq",
"ANET","Arista Networks, Inc.","236.62","17847607726","n/a","2014","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/anet",
"ARRS","ARRIS International plc","30.78","5350947345.54","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/arrs",
"ASX","ASE Technology Holding Co., Ltd.","3.85","8037266006","n/a","2018","Technology","Semiconductors","https://www.nasdaq.com/symbol/asx",
"ASGN","ASGN Incorporated","68.24","3572509487.68","n/a","1992","Technology","Professional Services","https://www.nasdaq.com/symbol/asgn",
"ASML","ASML Holding N.V.","169","12237719767","72412543","1995","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/asml",
"AZPN","Aspen Technology, Inc.","81.67","5779775854.59","n/a","1994","Technology","EDP Services","https://www.nasdaq.com/symbol/azpn",
"ALOT","AstroNova, Inc.","18.92","129761136.12","n/a","1983","Technology","Computer peripheral equipment","https://www.nasdaq.com/symbol/alot",
"ASUR","Asure Software Inc","7.115","108309631.455","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/asur",
"TEAM","Atlassian Corporation Plc","70.8","16860777510","n/a","2015","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/team",
"ATOM","Atomera Incorporated","3.6","44670690","n/a","2016","Technology","Semiconductors","https://www.nasdaq.com/symbol/atom",
"ATTU","Attunity Ltd.","21.88","466850321.76","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/attu",
"AUO","AU Optronics Corp","3.93","3782328328.23","n/a","2002","Technology","Semiconductors","https://www.nasdaq.com/symbol/auo",
"AEYE","AudioEye, Inc.","5.67","42410324.25","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/aeye",
"JG","Aurora Mobile Limited","6.24","56534400","9060000","2018","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/jg",
"ADSK","Autodesk, Inc.","130.11","28444210119.63","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/adsk",
"ATHM","Autohome Inc.","64.46","7550899577.76","n/a","2013","Technology","EDP Services","https://www.nasdaq.com/symbol/athm",
"ADP","Automatic Data Processing, Inc.","144.17","63107894380.83","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/adp",
"AUTO","AutoWeb, Inc.","2.16","27969732","n/a","n/a","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/auto",
"AVLR","Avalara, Inc.","30.99","2059975058.49","n/a","2018","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/avlr",
"AVNW","Aviat Networks, Inc.","15.1","81095501.3","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/avnw",
"AVID","Avid Technology, Inc.","5.6","234374834.4","n/a","1993","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/avid",
"AWRE","Aware, Inc.","3.75","80794173.75","n/a","1996","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/awre",
"ACLS","Axcelis Technologies, Inc.","16.2","525076781.4","n/a","2000","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/acls",
"AXTI","AXT Inc","5.5","217458015.5","n/a","1998","Technology","Semiconductors","https://www.nasdaq.com/symbol/axti",
"BOSC","B.O.S. Better Online Solutions","2.13","7569410.82","n/a","n/a","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/bosc",
"BIDU","Baidu, Inc.","180.43","50653272260.6","280736420","2005","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/bidu",
"BAND","Bandwidth Inc.","47.31","915681123.27","n/a","2017","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/band",
"BBSI","Barrett Business Services, Inc.","76.61","565465994.39","n/a","1993","Technology","Professional Services","https://www.nasdaq.com/symbol/bbsi",
"BHE","Benchmark Electronics, Inc.","23.3","1018451294.8","n/a","n/a","Technology","Electrical Products","https://www.nasdaq.com/symbol/bhe",
"BNFT","Benefitfocus, Inc.","42.56","1360240880.32","n/a","2013","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/bnft",
"BGSF","BG Staffing Inc","25.99","264003223.23","n/a","n/a","Technology","Professional Services","https://www.nasdaq.com/symbol/bgsf",
"BILI","Bilibili Inc.","12.9","541800000","42000000","2018","Technology","EDP Services","https://www.nasdaq.com/symbol/bili",
"BKYI","BIO-key International, Inc.","1.1","13851373.8","n/a","n/a","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/bkyi",
"BITA","Bitauto Holdings Limited","16.06","1168203853.96","n/a","2010","Technology","EDP Services","https://www.nasdaq.com/symbol/bita",
"BKTI","BK Technologies, Inc.","4","54022140","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/bkti",
"BBOX","Black Box Corporation","1.07","16300553.34","n/a","n/a","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/bbox",
"BKI","Black Knight, Inc.","48.54","7251858185.82","n/a","2017","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/bki",
"BLKB","Blackbaud, Inc.","69.59","3379918380.16","n/a","2004","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/blkb",
"BB","BlackBerry Limited","8.96","4843589605.12","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/bb",
"BL","BlackLine, Inc.","40.54","2215305745.98","n/a","2016","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/bl",
"BDR","Blonder Tongue Laboratories, Inc.","0.9998","9658605.8924","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/bdr",
"BRQS","Borqs Technologies, Inc. ","2.65","82953877.5","n/a","2015","Technology","EDP Services","https://www.nasdaq.com/symbol/brqs",
"EPAY","Bottomline Technologies, Inc.","52.2","2238106059","n/a","1999","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/epay",
"BOX","Box, Inc.","17.76","2515000508.64","n/a","2015","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/box",
"BLIN          ","Bridgeline Digital, Inc.","0.3615","2047978.8375","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/blin",
"BCOV","Brightcove Inc.","7.38","269248340.7","n/a","2012","Technology","EDP Services","https://www.nasdaq.com/symbol/bcov",
"AVGO","Broadcom Inc.","223.63","92459097820.65","n/a","2009","Technology","Semiconductors","https://www.nasdaq.com/symbol/avgo",
"BVSN","BroadVision, Inc.","1.65","8246668.65","n/a","1996","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/bvsn",
"BRKS","Brooks Automation, Inc.","28.59","2019579130.86","n/a","1995","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/brks",
"CCMP","Cabot Microelectronics Corporation","101.08","2578178623.44","n/a","2000","Technology","Semiconductors","https://www.nasdaq.com/symbol/ccmp",
"CACI","CACI International, Inc.","180.46","4484233576.76","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/caci",
"CDNS","Cadence Design Systems, Inc.","44.82","12645604440","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/cdns",
"CAI","CAI International, Inc.","24.93","481303615.86","n/a","n/a","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/cai",
"CAMP","CalAmp Corp.","19.08","663239021.4","n/a","1983","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/camp",
"CSIQ","Canadian Solar Inc.","13.86","811943262.9","n/a","2006","Technology","Semiconductors","https://www.nasdaq.com/symbol/csiq",
"CBLK","Carbon Black, Inc.","15.89","1077869404.99","n/a","2018","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/cblk",
"CARB","Carbonite, Inc.","27.56","952416550.8","n/a","2011","Technology","EDP Services","https://www.nasdaq.com/symbol/carb",
"CDLX","Cardlytics, Inc.","18.28","389311902","n/a","2018","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/cdlx",
"CARG","CarGurus, Inc.","40.91","4503292902.77","n/a","2017","Technology","EDP Services","https://www.nasdaq.com/symbol/carg",
"CARS","Cars.com Inc.","25.63","1757400454.26","n/a","2017","Technology","EDP Services","https://www.nasdaq.com/symbol/cars",
"CASA","Casa Systems, Inc.","15.14","1253211244.14","n/a","2017","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/casa",
"CSLT","Castlight Health, inc.","2.7","377268988.5","n/a","2014","Technology","EDP Services","https://www.nasdaq.com/symbol/cslt",
"CLS","Celestica, Inc.","9.99","1186894717.2","n/a","1998","Technology","Electrical Products","https://www.nasdaq.com/symbol/cls",
"CRNT","Ceragon Networks Ltd.","4.65","364422322.8","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/crnt",
"CDAY","Ceridian HCM Holding Inc.","36.51","4945552229.7","n/a","2018","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/cday",
"CERN","Cerner Corporation","56.76","18701754999.84","n/a","1986","Technology","EDP Services","https://www.nasdaq.com/symbol/cern",
"CEVA","CEVA, Inc.","25.44","560479426.56","n/a","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/ceva",
"CYOU","Changyou.com Limited","16.76","327927098.56","19566056","2009","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/cyou",
"ECOM          ","ChannelAdvisor Corporation","11.1","303166185.9","n/a","2013","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/ecom",
"CHKP","Check Point Software Technologies Ltd.","110.78","17617862736.64","n/a","1996","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/chkp",
"CMCM","Cheetah Mobile Inc.","9","1283984667","n/a","2014","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/cmcm",
"CVR","Chicago Rivet & Machine Co.","31.26","30201286.32","n/a","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cvr",
"CCIH","ChinaCache International Holdings Ltd.","1.2066","29153241.768","24161480","2010","Technology","EDP Services","https://www.nasdaq.com/symbol/ccih",
"CNET","ChinaNet Online Holdings, Inc.","1.9","30651831.7","n/a","n/a","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/cnet",
"IMOS","ChipMOS TECHNOLOGIES INC.","16.98","119140492.62","7016519","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/imos",
"CRUS","Cirrus Logic, Inc.","35.635","2132551594.865","n/a","1989","Technology","Semiconductors","https://www.nasdaq.com/symbol/crus",
"CSCO","Cisco Systems, Inc.","45.62","206667088102.82","n/a","1990","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/csco",
"CISN","Cision Ltd.","13.72","1820829974.6","n/a","2017","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/cisn",
"CTXS","Citrix Systems, Inc.","105.55","14224106617.85","n/a","1995","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/ctxs",
"CLDR","Cloudera, Inc.","12.26","1878373517.18","n/a","2017","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/cldr",
"CLPS","CLPS Incorporation","5.96","82330373.16","n/a","2018","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/clps",
"CTSH","Cognizant Technology Solutions Corporation","69.55","40271398025.95","n/a","1998","Technology","EDP Services","https://www.nasdaq.com/symbol/ctsh",
"CCNI","Command Center, Inc.","3.88","18928936.96","n/a","n/a","Technology","Professional Services","https://www.nasdaq.com/symbol/ccni",
"COMM","CommScope Holding Company, Inc.","19.24","3698373290.56","n/a","2013","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/comm",
"CVLT","Commvault Systems, Inc.","58.25","2696296620.5","n/a","2006","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/cvlt",
"CPSI","Computer Programs and Systems, Inc.","25.95","365531414.55","n/a","2002","Technology","EDP Services","https://www.nasdaq.com/symbol/cpsi",
"CTG","Computer Task Group, Incorporated","4.4","62834274.8","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/ctg",
"CMTL","Comtech Telecommunications Corp.","27.08","645959847.88","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/cmtl",
"CVON","ConvergeOne Holdings, Inc.","12.47","952686913.23","n/a","2017","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/cvon",
"CTK","CooTek (Cayman) Inc.","7.5","479374755","n/a","2018","Technology","EDP Services","https://www.nasdaq.com/symbol/ctk",
"CLGX","CoreLogic, Inc.","40.06","3227292207.78","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/clgx",
"CSOD","Cornerstone OnDemand, Inc.","49.54","2911270315.16","n/a","2011","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/csod",
"CPAH","CounterPath Corporation","2.07","12278018.7","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/cpah",
"COUP","Coupa Software Incorporated","60.36","3504653526.12","n/a","2016","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/coup",
"CRAY","Cray Inc","23.87","974771885.78","n/a","n/a","Technology","Computer Manufacturing","https://www.nasdaq.com/symbol/cray",
"CREE","Cree, Inc.","41.52","4258263506.16","n/a","1993","Technology","Semiconductors","https://www.nasdaq.com/symbol/cree",
"CRTO","Criteo S.A.","20.4","1341657754.8","65767537","2013","Technology","Advertising","https://www.nasdaq.com/symbol/crto",
"CCRN","Cross Country Healthcare, Inc.","8.68","314656371.12","n/a","2001","Technology","Professional Services","https://www.nasdaq.com/symbol/ccrn",
"CSGS","CSG Systems International, Inc.","36.84","1232334840","n/a","1996","Technology","EDP Services","https://www.nasdaq.com/symbol/csgs",
"CSPI","CSP Inc.","11.59","46559973.86","n/a","1982","Technology","EDP Services","https://www.nasdaq.com/symbol/cspi",
"CTS","CTS Corporation","27.32","903938014.76","n/a","n/a","Technology","Electrical Products","https://www.nasdaq.com/symbol/cts",
"CW","Curtiss-Wright Corporation","107.33","4700002917.31","n/a","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cw",
"CVV","CVD Equipment Corporation","4.14","26887569.48","n/a","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cvv",
"CYBR","CyberArk Software Ltd.","74.61","2654506140.03","n/a","2014","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/cybr",
"CY","Cypress Semiconductor Corporation","12.7","4596765495.3","n/a","1986","Technology","Semiconductors","https://www.nasdaq.com/symbol/cy",
"CYRN","CYREN Ltd.","3","161203947","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/cyrn",
"DQ","DAQO New Energy Corp.","25","321595275","n/a","2010","Technology","Semiconductors","https://www.nasdaq.com/symbol/dq",
"DWCH","Datawatch Corporation","13.08","166596650.76","n/a","1992","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/dwch",
"DVMT","Dell Technologies Inc.","98.5","19636624213.5","n/a","n/a","Technology","Computer Manufacturing","https://www.nasdaq.com/symbol/dvmt",
"DTRM","Determine, Inc. ","0.53","7972273.78","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/dtrm",
"DGII","Digi International Inc.","11.49","313018542.57","n/a","1989","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/dgii",
"DMRC","Digimarc Corporation","20.73","246280795.65","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/dmrc",
"DGLY","Digital Ally, Inc.","2.77","28700618.18","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/dgly",
"DIOD","Diodes Incorporated","33.05","1659799191.65","n/a","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/diod",
"DLHC","DLH Holdings Corp.","5.01","59616464.94","n/a","n/a","Technology","Professional Services","https://www.nasdaq.com/symbol/dlhc",
"DOCU","DocuSign, Inc.","41.34","6482467069.26","n/a","2018","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/docu",
"DOMO","Domo, Inc.","16.17","425873655.9","n/a","2018","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/domo",
"DOV","Dover Corporation","85.29","12480713765.46","n/a","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/dov",
"DBX","Dropbox, Inc.","24.34","9792139406.78","n/a","2018","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/dbx",
"DSPG","DSP Group, Inc.","12.21","273981020.28","n/a","1994","Technology","Semiconductors","https://www.nasdaq.com/symbol/dspg",
"DXC","DXC Technology Company","62.01","17369845638.21","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/dxc",
"ETN","Eaton Corporation, PLC","72.51","31425834000","n/a","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/etn",
"EBIX","Ebix, Inc.","51.61","1629975353.89","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/ebix",
"SATS","EchoStar Corporation","39.19","3771454783.89","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/sats",
"EGAN","eGain Corporation","7.89","219879490.47","n/a","1999","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/egan",
"ESTC","Elastic N.V.","66.5","0","n/a","2018","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/estc",
"EA","Electronic Arts Inc.","87.66","26484601491.36","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/ea",
"EFII","Electronics for Imaging, Inc.","28.17","1237553481.87","n/a","1992","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/efii",
"ELLI","Ellie Mae, Inc.","65.2","2271659475.6","n/a","2011","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/elli",
"ELTK","Eltek Ltd.","3.01","6105941.52","n/a","1997","Technology","Electrical Products","https://www.nasdaq.com/symbol/eltk",
"EMAN","eMagin Corporation","1.35","60967718.55","n/a","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/eman",
"EMKR","EMCORE Corporation","4.37","120148107.02","n/a","1997","Technology","Semiconductors","https://www.nasdaq.com/symbol/emkr",
"DAVA","Endava plc","24.06","1275977348.4","n/a","2018","Technology","EDP Services","https://www.nasdaq.com/symbol/dava",
"EIGI","Endurance International Group Holdings, Inc.","8.58","1234279314.84","n/a","2013","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/eigi",
"WATT","Energous Corporation","8.66","225673971","n/a","2014","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/watt",
"ERII","Energy Recovery, Inc.","8.4","452443236","n/a","2008","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/erii",
"ENPH","Enphase Energy, Inc.","5.43","577361621.01","n/a","2012","Technology","Semiconductors","https://www.nasdaq.com/symbol/enph",
"EPAM","EPAM Systems, Inc.","127.01","6859730337.72","n/a","2012","Technology","EDP Services","https://www.nasdaq.com/symbol/epam",
"PLUS","ePlus inc.","81.39","1115428300.26","n/a","1996","Technology","Retail: Computer Software & Peripheral Equipment","https://www.nasdaq.com/symbol/plus",
"ERIC","Ericsson","8.75","2723000883.75","311200101","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/eric",
